# id r g b
814 143 180 51
868 145 218 118
485 206 150 135
1060 218 140 118
73 32 219 205
708 219 32 158
211 218 123 118
251 77 120 240
406 218 118 192
1228 134 137 237
202 118 129 218
461 229 73 23
568 135 206 154
956 211 4 117
475 135 148 206
1010 240 77 123
35 247 47 81
311 211 139 4
1214 184 206 135
233 228 104 237
599 134 236 237
1199 39 37 188
637 131 99 24
671 0 255 62
674 0 255 246
654 42 0 255
733 248 127 224
1079 196 26 146
117 194 248 127
965 84 211 4
268 107 240 77
133 221 38 105
317 4 211 24
460 229 23 23
504 16 9 208
932 200 38 179
1203 182 135 206
31 221 47 247
1249 134 236 237
748 127 248 224
970 4 211 173
1270 17 167 184
232 196 104 237
480 206 135 205
719 38 219 32
1237 237 148 134
1172 9 208 80
675 47 161 247
604 184 17 141
100 127 204 248
958 211 4 18
812 180 156 51
468 39 229 23
462 229 122 23
1094 26 196 178
699 47 209 247
909 240 77 133
207 218 118 209
746 127 248 166
106 224 127 248
607 184 17 20
850 118 177 218
597 134 237 189
448 26 51 196
129 162 38 221
1254 184 17 141
839 205 239 102
1244 153 237 134
304 206 4 211
348 41 173 204
646 24 131 116
885 237 104 182
572 135 190 206
140 163 221 38
620 17 167 184
261 240 99 77
1088 119 196 26
1037 197 142 61
48 47 247 237
904 151 77 240
299 38 166 200
1007 240 77 240
151 73 51 180
1200 135 139 206
1074 118 160 218
108 248 127 214
754 166 127 248
32 247 47 225
162 180 156 51
985 204 52 41
1107 229 23 171
395 61 197 131
937 200 92 38
734 248 127 195
144 38 221 88
642 34 131 24
308 211 4 18
890 237 186 104
767 194 248 127
51 32 98 219
951 57 4 211
1158 207 9 208
978 104 41 204
1121 23 229 155
944 38 200 40
895 129 237 104
598 134 237 214
530 188 37 120
270 77 240 125
1150 9 193 208
999 41 134 204
860 218 118 137
1011 240 77 84
785 221 59 38
415 176 218 118
1076 124 26 196
811 180 125 51
464 229 221 23
44 49 247 47
50 32 143 219
315 84 211 4
824 51 91 180
326 41 56 204
1241 227 237 134
715 218 219 32
742 204 248 127
176 120 102 239
1225 134 211 237
419 118 218 156
672 0 255 123
990 160 204 41
1110 229 23 23
977 65 41 204
146 38 221 176
125 38 90 221
203 131 118 218
435 196 151 26
342 82 204 41
42 145 247 47
422 118 208 218
327 65 41 204
629 108 24 131
1266 17 184 40
287 200 92 38
818 51 180 83
1272 17 87 184
337 204 130 41
432 196 29 26
181 239 102 194
912 240 138 77
378 120 61 197
371 77 240 136
333 204 41 108
537 168 188 37
952 106 4 211
1296 24 131 116
1247 134 237 189
949 38 166 200
996 41 204 157
536 188 172 37
943 75 200 38
602 147 17 184
1099 42 26 196
1070 118 218 180
925 38 127 200
1273 17 47 184
163 174 180 51
879 104 107 237
923 77 237 240
1291 60 131 24
1104 139 23 229
399 61 133 197
110 248 127 156
1181 188 37 84
697 47 247 189
265 224 240 77
1020 77 240 96
1166 208 191 9
1151 9 145 208
1034 197 61 78
1012 240 109 77
1195 37 180 188
484 206 135 137
479 190 135 206
815 112 180 51
1261 184 174 17
1299 24 69 131
1026 61 67 197
1038 197 174 61
45 47 247 93
80 185 127 248
770 127 248 147
556 206 135 179
728 127 127 248
1250 67 17 184
1207 206 135 162
182 239 102 161
819 51 180 114
753 137 127 248
984 204 41 69
1091 26 196 56
498 135 182 206
1294 24 131 65
93 175 248 127
979 143 41 204
1030 185 61 197
1050 118 136 218
983 204 41 108
957 211 4 67
1277 56 24 131
1218 135 206 154
150 51 60 180
743 175 248 127
466 138 229 23
496 135 206 196
489 193 206 135
103 137 127 248
758 248 127 214
240 237 186 104
386 197 109 61
249 104 237 207
258 240 77 172
547 37 108 188
566 150 206 135
481 206 135 188
562 206 193 135
632 131 24 77
873 118 218 211
596 134 237 164
838 238 239 102
70 32 219 71
436 196 192 26
1138 206 202 135
127 74 38 221
1213 201 206 135
515 208 143 9
647 24 120 131
730 185 127 248
727 127 156 248
1092 26 196 97
834 239 109 102
1238 237 172 134
506 112 9 208
83 248 127 224
635 131 48 24
165 112 180 51
360 240 77 123
542 37 188 87
751 127 175 248
1111 229 73 23
514 208 96 9
1120 23 229 106
1062 218 188 118
250 77 159 240
1106 229 23 220
517 177 208 9
960 211 90 4
301 57 4 211
64 219 175 32
701 32 98 219
119 136 248 127
702 32 53 219
425 83 26 196
641 60 131 24
266 185 240 77
1142 142 206 135
645 24 131 91
428 196 26 187
1216 150 206 135
278 66 38 200
1265 34 184 17
526 111 37 188
1231 205 134 237
967 4 211 24
683 247 47 177
859 218 118 161
1284 131 24 26
911 240 99 77
1230 181 134 237
784 221 38 61
919 77 240 86
723 32 219 205
1146 135 206 196
998 41 173 204
459 229 23 72
804 166 51 180
844 102 239 164
894 161 237 104
221 118 218 163
875 104 235 237
617 17 184 80
440 37 196 26
522 9 208 80
655 103 0 255
575 134 211 237
353 83 77 240
1057 218 118 168
776 38 46 221
201 118 153 218
97 127 248 195
507 159 9 208
762 248 156 127
624 27 17 184
828 186 102 239
99 127 243 248
573 135 173 206
924 77 198 240
539 96 188 37
404 196 118 218
187 239 208 102
1097 26 91 196
149 38 134 221
673 0 255 185
892 224 237 104
1154 16 9 208
1018 136 240 77
208 218 118 185
38 247 157 47
1043 61 197 66
271 77 240 165
1164 208 96 9
1222 135 190 206
1080 196 26 105
370 77 240 96
1143 135 206 145
344 41 204 78
323 4 100 211
33 247 47 177
400 118 136 218
693 97 247 47
981 204 41 186
1147 135 199 206
649 24 69 131
121 127 248 176
197 102 216 239
832 239 102 161
183 239 102 128
256 230 77 240
300 7 4 211
685 247 47 81
589 237 197 134
490 176 206 135
772 127 248 205
185 239 142 102
178 186 102 239
305 211 4 167
721 32 219 115
158 180 51 70
285 200 38 62
131 221 38 192
364 240 188 77
375 61 100 197
451 23 56 229
1245 134 237 139
831 239 102 194
710 219 32 68
1141 159 206 135
1274 27 17 184
773 127 248 234
557 206 135 162
331 204 41 186
731 214 127 248
179 219 102 239
132 221 38 149
926 38 88 200
538 132 188 37
1072 118 208 218
964 133 211 4
756 224 127 248
52 32 53 219
352 77 110 240
962 211 189 4
910 240 77 94
126 38 46 221
696 47 247 141
328 104 41 204
463 229 172 23
941 153 200 38
665 255 205 0
688 247 157 47
1242 203 237 134
534 188 99 37
215 217 218 118
676 47 113 247
420 118 218 180
1177 147 37 188
1131 206 135 188
541 37 188 51
704 101 32 219
418 118 218 132
82 243 127 248
1084 196 110 26
1196 37 144 188
533 188 63 37
918 107 240 77
886 237 104 150
264 240 217 77
204 155 118 218
634 131 24 26
443 26 196 137
745 127 248 137
442 26 196 97
216 193 218 118
826 120 102 239
98 127 248 224
130 206 38 221
145 38 221 132
472 23 229 205
1108 229 23 121
887 237 104 118
712 219 86 32
347 41 204 196
116 223 248 127
277 38 49 200
549 39 37 188
474 23 154 229
893 192 237 104
774 127 233 248
837 239 208 102
87 248 146 127
954 206 4 211
760 248 127 156
905 191 77 240
164 143 180 51
1248 134 237 214
638 131 125 24
588 237 172 134
633 131 24 52
34 247 47 129
59 219 32 113
234 237 104 214
883 228 104 237
101 127 175 248
1077 165 26 196
180 239 102 227
1215 167 206 135
968 4 211 73
777 74 38 221
600 67 17 184
1251 107 17 184
1290 86 131 24
153 135 51 180
1114 229 221 23
166 81 180 51
765 248 244 127
114 248 215 127
798 38 178 221
939 200 169 38
891 237 218 104
934 200 38 101
1033 197 61 111
273 77 237 240
933 200 38 140
948 38 200 195
1102 40 23 229
476 139 135 206
1031 197 61 176
660 255 0 101
841 139 239 102
986 204 91 41
1153 9 50 208
444 26 196 178
966 34 211 4
1116 138 229 23
870 118 218 139
739 248 205 127
823 51 122 180
1133 206 135 154
546 37 144 188
368 136 240 77
946 38 200 117
857 218 118 209
1202 165 135 206
398 61 165 197
218 145 218 118
651 0 142 255
267 146 240 77
706 190 32 219
842 106 239 102
